# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.005          -4.004526e+01 6.151155e-03 1.647677e+03 -4.004526e+01 5.718383e-03 1.647703e+03 -2.647844e-06 4.327714e-04 -2.585376e-02
0.01           -4.004561e+01 5.965697e-03 1.647703e+03 -4.004561e+01 5.533859e-03 1.647728e+03 -2.607517e-06 4.318385e-04 -2.579957e-02
0.015          -4.004578e+01 5.989819e-03 1.647708e+03 -4.004578e+01 5.558935e-03 1.647734e+03 -2.569293e-06 4.308838e-04 -2.574399e-02
0.02           -4.004591e+01 6.243960e-03 1.647699e+03 -4.004591e+01 5.814055e-03 1.647725e+03 -2.527547e-06 4.299052e-04 -2.568712e-02
0.025          -4.004615e+01 6.368245e-03 1.647701e+03 -4.004615e+01 5.939344e-03 1.647727e+03 -2.484465e-06 4.289015e-04 -2.562881e-02
0.03           -4.004636e+01 6.551925e-03 1.647699e+03 -4.004636e+01 6.124053e-03 1.647725e+03 -2.444227e-06 4.278722e-04 -2.556884e-02
0.035          -4.004666e+01 6.774670e-03 1.647698e+03 -4.004666e+01 6.347851e-03 1.647724e+03 -2.407273e-06 4.268191e-04 -2.550730e-02
0.04           -4.004671e+01 7.008270e-03 1.647687e+03 -4.004671e+01 6.582526e-03 1.647712e+03 -2.372495e-06 4.257438e-04 -2.544433e-02
0.045          -4.004682e+01 7.254001e-03 1.647677e+03 -4.004682e+01 6.829353e-03 1.647702e+03 -2.338902e-06 4.246479e-04 -2.538007e-02
0.05           -4.004690e+01 7.499499e-03 1.647665e+03 -4.004689e+01 7.075966e-03 1.647690e+03 -2.306083e-06 4.235330e-04 -2.531464e-02
0.055          -4.004693e+01 7.738233e-03 1.647652e+03 -4.004693e+01 7.315831e-03 1.647677e+03 -2.272819e-06 4.224014e-04 -2.524822e-02
0.06           -4.004718e+01 7.926236e-03 1.647651e+03 -4.004718e+01 7.504982e-03 1.647676e+03 -2.238771e-06 4.212543e-04 -2.518092e-02
0.065          -4.004714e+01 8.252577e-03 1.647630e+03 -4.004714e+01 7.832481e-03 1.647655e+03 -2.205506e-06 4.200958e-04 -2.511289e-02
0.07           -4.004721e+01 8.464503e-03 1.647621e+03 -4.004721e+01 8.045573e-03 1.647646e+03 -2.171604e-06 4.189298e-04 -2.504443e-02
0.075          -4.004725e+01 8.665163e-03 1.647610e+03 -4.004724e+01 8.247405e-03 1.647635e+03 -2.137260e-06 4.177577e-04 -2.497562e-02
0.08           -4.004728e+01 8.851147e-03 1.647600e+03 -4.004728e+01 8.434566e-03 1.647625e+03 -2.102394e-06 4.165804e-04 -2.490653e-02
