# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.005          1.230231e-02 8.009052e+01 -2.506713e-17 1.143677e-02 8.009052e+01 -2.506713e-17 8.655428e-04 5.295688e-06 -6.147674e-24
0.01           1.193139e-02 8.009123e+01 -2.506739e-17 1.106772e-02 8.009122e+01 -2.506738e-17 8.636771e-04 5.215034e-06 -6.060952e-24
0.015          1.197964e-02 8.009157e+01 -2.506751e-17 1.111787e-02 8.009156e+01 -2.506751e-17 8.617677e-04 5.138586e-06 -5.973485e-24
0.02           1.248792e-02 8.009183e+01 -2.506761e-17 1.162811e-02 8.009182e+01 -2.506760e-17 8.598104e-04 5.055093e-06 -5.882721e-24
0.025          1.273649e-02 8.009230e+01 -2.506777e-17 1.187869e-02 8.009229e+01 -2.506777e-17 8.578030e-04 4.968929e-06 -5.788421e-24
0.03           1.310385e-02 8.009273e+01 -2.506792e-17 1.224811e-02 8.009272e+01 -2.506792e-17 8.557445e-04 4.888454e-06 -5.692215e-24
0.035          1.354934e-02 8.009332e+01 -2.506812e-17 1.269570e-02 8.009331e+01 -2.506811e-17 8.536383e-04 4.814545e-06 -5.594798e-24
0.04           1.401654e-02 8.009343e+01 -2.506817e-17 1.316505e-02 8.009342e+01 -2.506816e-17 8.514876e-04 4.744991e-06 -5.496247e-24
0.045          1.450800e-02 8.009365e+01 -2.506825e-17 1.365871e-02 8.009364e+01 -2.506824e-17 8.492957e-04 4.677803e-06 -5.396260e-24
0.05           1.499900e-02 8.009379e+01 -2.506831e-17 1.415193e-02 8.009379e+01 -2.506830e-17 8.470660e-04 4.612166e-06 -5.294611e-24
0.055          1.547647e-02 8.009387e+01 -2.506834e-17 1.463166e-02 8.009386e+01 -2.506834e-17 8.448029e-04 4.545639e-06 -5.191335e-24
0.06           1.585247e-02 8.009436e+01 -2.506851e-17 1.500996e-02 8.009436e+01 -2.506850e-17 8.425086e-04 4.477542e-06 -5.087504e-24
0.065          1.650515e-02 8.009428e+01 -2.506849e-17 1.566496e-02 8.009427e+01 -2.506848e-17 8.401917e-04 4.411013e-06 -4.977370e-24
0.07           1.692901e-02 8.009443e+01 -2.506854e-17 1.609115e-02 8.009442e+01 -2.506854e-17 8.378596e-04 4.343208e-06 -4.865724e-24
0.075          1.733033e-02 8.009449e+01 -2.506857e-17 1.649481e-02 8.009449e+01 -2.506857e-17 8.355154e-04 4.274521e-06 -4.753986e-24
0.08           1.770229e-02 8.009456e+01 -2.506860e-17 1.686913e-02 8.009456e+01 -2.506860e-17 8.331607e-04 4.204789e-06 -4.642057e-24
0.085          1.804306e-02 8.009463e+01 -2.506863e-17 1.721227e-02 8.009463e+01 -2.506863e-17 8.307974e-04 4.134285e-06 -4.529995e-24
0.09           1.835089e-02 8.009470e+01 -2.506866e-17 1.752247e-02 8.009469e+01 -2.506865e-17 8.284268e-04 4.062655e-06 -4.417972e-24
0.095          1.862645e-02 8.009475e+01 -2.506868e-17 1.780040e-02 8.009474e+01 -2.506867e-17 8.260502e-04 3.989343e-06 -4.306193e-24
0.1            1.887033e-02 8.009485e+01 -2.506872e-17 1.804666e-02 8.009484e+01 -2.506871e-17 8.236685e-04 3.915698e-06 -4.194661e-24
0.105          1.908593e-02 8.009488e+01 -2.506873e-17 1.826465e-02 8.009488e+01 -2.506873e-17 8.212828e-04 3.842351e-06 -4.083337e-24
0.11           1.929226e-02 8.009496e+01 -2.506876e-17 1.847337e-02 8.009496e+01 -2.506876e-17 8.188942e-04 3.769385e-06 -3.972943e-24
